procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 399856 6622860   4304  68352   13  176    33   260   20   50  0  0 99  0  0
 1  0 398608 5878988   4304  68324 2068    0  2068     4  380  872  1  3 95  0  0
 0  0 397824 5593600   4304  68420 1072    0  1072     0  222  575  1  3 97  0  0
 0  0 397776 4566484   4304  68404  108    0   108     0  584 1278  1  5 94  0  0
 0  0 397744 3541388   4312  68428   72    0    72    52   94  315  1  4 95  0  0
 1  0 397736 3165596   4312  68428   24    0    24     0   65  244  0  2 97  0  0
 0  0 397572 2508600   4312  72232 1260    0  5064     0  370  864  1  2 97  0  0
 0  0 397536 1483104   4312  72236   52    0    52     0  605 1295  3  6 91  0  0
 1  0 396968 1098692   4312  72156  884    0   884     0  204  511  1  3 96  0  0
 0  0 396940 456456   4320  72224  144    0   144    16  127  361  1  4 94  0  0
 2  1 616300  99084    624  45164  168 227032  1544 227032 1029 4102  2 10 88  0  0
 0  3 1854380  98220   3352  47948 5128 1240412 20732 1240412 10824 35785  1 30 65  4  0
 2  1 1860268 6506472    756  39748 4172 250316 54644 250400 3790 11407  0 47 51  2  0
